company,report,reporting_period,source_pdf,source_page,category,subcategory,indicator,unit,value_2022,value_2023,value_2024,notes
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,133,Environmental,Energy and GHG,Total renewable energy use,MWh,100083,126410,186233,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,133,Environmental,Energy and GHG,Renewable energy conversion rate,percent,8.2,10.1,14.4,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,133,Environmental,Energy and GHG,Direct GHG emissions Scope 1 - domestic,tCO2eq,109942,74773,77452,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,133,Environmental,Energy and GHG,Direct GHG emissions Scope 1 - overseas,tCO2eq,155307,134174,147811,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,133,Environmental,Energy and GHG,Indirect GHG emissions Scope 2 - domestic,tCO2eq,224496,217159,225984,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,133,Environmental,Energy and GHG,Indirect GHG emissions Scope 2 - overseas,tCO2eq,437816,448125,455329,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,133,Environmental,Energy and GHG,Total Scope 1+2 GHG emissions,tCO2eq,927561,874231,906576,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,133,Environmental,Energy and GHG,Scope 1+2 GHG emissions target,tCO2eq,1053000,923000,919600,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,133,Environmental,Energy and GHG,GHG emissions intensity,tCO2eq/KRW 100m,1.12,1.06,1.03,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,133,Environmental,Energy and GHG,Scope 3 GHG emissions,tCO2eq,63837944,69161568,72759601,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,134,Environmental,Air pollutants,NOx total,tons,39.9,28.0,25.8,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,134,Environmental,Air pollutants,SOx total,tons,6.3,6.3,13.3,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,134,Environmental,Air pollutants,VOCs total,tons,215.2,195.1,199.0,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,134,Environmental,Air pollutants,Dust total,tons,37.8,31.8,38.5,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,134,Environmental,Waste and GHG reduction,Total waste generated,tons,214249,181554,198030,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,134,Environmental,Waste and GHG reduction,Total recycled waste,tons,202547,173363,192915,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,134,Environmental,Waste and GHG reduction,Waste recycling rate - total,percent,94.5,95.5,97.4,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,134,Environmental,Waste and GHG reduction,GHG reduction rate vs 2017,percent,52,55,54,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,134,Environmental,Waste and GHG reduction,GHG reduction amount vs 2017,tCO2eq,1005578,1058908,1031224,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,134,Environmental,Waste and GHG reduction,GHG reduction target vs 2017,tCO2eq,880139,1010139,1017800,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,135,Environmental,"Resources, chemicals and water",Designated waste recycled,tons,2001,2026,2618,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,135,Environmental,"Resources, chemicals and water",Designated waste incinerated,tons,1989,1623,1468,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,135,Environmental,"Resources, chemicals and water",Designated waste landfilled,tons,276,159,79,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,135,Environmental,"Resources, chemicals and water",Recycled plastic use ratio,percent,6.7,11.2,13.7,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,135,Environmental,"Resources, chemicals and water",Recycled plastic use amount,tons,32987,54423,74079,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,135,Environmental,"Resources, chemicals and water",Hazardous chemical use,tons,11821,11693,11671,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,135,Environmental,"Resources, chemicals and water",Chemical emissions,tons,4,0,0,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,135,Environmental,"Resources, chemicals and water",Water withdrawal total,thousand tons,7078,6491,6524,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,135,Environmental,"Resources, chemicals and water",Water withdrawal target,thousand tons,7800,7200,7200,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,135,Environmental,"Resources, chemicals and water",General waste recycled,tons,200547,171337,190297,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,135,Environmental,"Resources, chemicals and water",General waste incinerated,tons,3602,1541,354,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,135,Environmental,"Resources, chemicals and water",General waste landfilled,tons,5834,4868,3214,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,135,Environmental,"Resources, chemicals and water",Major chemical spills - count,cases,0,0,0,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,135,Environmental,"Resources, chemicals and water",Major chemical spills - quantity,tons,0,0,0,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,136,Environmental,Water and wastewater,Water use total,thousand tons,4803,4813,4836,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,136,Environmental,Water and wastewater,Water reused internally,thousand tons,397,325,321,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,136,Environmental,Water and wastewater,External reused water used,thousand tons,50,69,68,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,136,Environmental,Water and wastewater,Total water reuse,thousand tons,447,394,389,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,136,Environmental,Water and wastewater,Wastewater COD total,tons,187,103,114,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,136,Environmental,Water and wastewater,Wastewater SS total,tons,83,56,38,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,136,Environmental,Water and wastewater,Wastewater T-N total,tons,42,34,27,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,136,Environmental,Water and wastewater,Wastewater T-P total,tons,2,2,2,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,136,Environmental,Water and wastewater,Wastewater TOC total,tons,0,5,5,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,136,Environmental,Water and wastewater,Wastewater BOD total,tons,6,7,6,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,136,Environmental,Water and wastewater,Wastewater discharge total,thousand tons,2275,1678,1688,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,136,Environmental,Water and wastewater,Eco-friendly vehicles held,vehicles,298,345,336,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,136,Environmental,Water and wastewater,Total company vehicles,vehicles,2608,2412,2396,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,136,Environmental,Water and wastewater,Eco-friendly vehicle ratio,percent,11.43,14.3,14.02,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,137,Social,Supply chain ESG risk,RBA self-assessment target sites,sites,30,30,30,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,137,Social,Supply chain ESG risk,RBA Low Risk sites,sites,17,24,8,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,137,Social,Supply chain ESG risk,RBA Medium Risk sites,sites,13,6,22,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,137,Social,Supply chain ESG risk,RBA High Risk sites,sites,0,0,0,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,137,Social,Supply chain ESG risk,RBA self-assessment average score,points,81.5,90.0,76.7,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,137,Social,Supply chain ESG risk,RBA self-assessment improvement tasks,cases,0,0,19,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,137,Social,Supply chain ESG risk,Supplier ESG self-assessment target suppliers,suppliers,1325,1330,1283,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,137,Social,Supply chain ESG risk,Supplier ESG self-assessment completed suppliers,suppliers,1231,1266,1236,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,137,Social,Supply chain ESG risk,High-risk suppliers,suppliers,8,12,14,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,137,Social,Supply chain ESG risk,High-risk supplier ratio,percent,0.6,0.9,1.1,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,137,Social,Supply chain ESG risk,Supplier ESG field diagnosis certification rate,percent,90,96,100,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,138,Social,Supply chain social impact,Suppliers assessed for social impacts,suppliers,1231,1266,1236,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,138,Social,Supply chain social impact,Suppliers identified with actual/potential negative social impacts,suppliers,8,12,14,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,138,Social,Supply chain social impact,Supplier corrective-action consultation rate,percent,100,100,100,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,138,Social,Supply chain social impact,Supplier contracts terminated due to assessment,suppliers,0,0,0,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,138,Social,Supply chain social impact,Suppliers supported with corrective action plans,suppliers,8,12,14,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,138,Social,Supply chain social impact,New suppliers screened through social impact assessment,percent,100,100,100,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,138,Social,Supply chain social impact,Supplier fire/safety consulting - total,cases,231,236,237,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,138,Social,Supply chain social impact,Supplier grievance cases received,cases,,4,4,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,139,Social,Occupational safety and health,LTIFR average - own employees,cases/million hours,2.08,0.73,0.32,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,139,Social,Occupational safety and health,LTIFR average - in-house suppliers,cases/million hours,0.92,0.25,0.27,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,139,Social,Occupational safety and health,Lost-time injury cases - own employees total,cases,254,94,41,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,139,Social,Occupational safety and health,Lost-time injury cases - in-house suppliers total,cases,58,15,16,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,139,Social,Occupational safety and health,Total incident count - own employees,cases,254,94,41,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,139,Social,Occupational safety and health,Total incident count - in-house suppliers,cases,58,15,16,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,139,Social,Occupational safety and health,Injured persons - own employees total,people,252,94,41,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,139,Social,Occupational safety and health,Injured persons - in-house suppliers total,people,58,15,16,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,139,Social,Occupational safety and health,Fatalities - own employees total,people,0,0,0,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,139,Social,Occupational safety and health,Fatalities - in-house suppliers total,people,1,0,0,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,139,Social,Occupational safety and health,General SHEE education hours,hours,475373,568980,611578,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,139,Social,Occupational safety and health,Special SHEE education hours,hours,4214,3144,28848,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,139,Social,Occupational safety and health,Professional SHEE education hours,hours,12456,3824,28160,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,139,Social,Occupational safety and health,General SHEE education completions,people,30323,30129,34382,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,139,Social,Occupational safety and health,Special SHEE education completions,people,196,146,1803,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,139,Social,Occupational safety and health,Professional SHEE education completions,people,617,531,1760,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,140,Social,Employees,Total employees,people,72652,72813,75241,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,140,Social,Employees,Employees - Korea,people,34645,35111,35727,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,140,Social,Employees,Employees - Asia,people,8470,8516,9533,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,140,Social,Employees,Employees - China,people,5978,6407,6680,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,140,Social,Employees,Employees - India,people,4540,4833,5300,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,140,Social,Employees,Regular employee ratio,percent,98,98,98,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,140,Social,Employees,Regular male employees,people,55874,55673,57416,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,140,Social,Employees,Regular female employees,people,15671,15735,16318,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,140,Social,Employees,Full-time male employees,people,56768,56807,58615,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,140,Social,Employees,Full-time female employees,people,15801,15931,16555,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,140,Social,Employees,Executives - total,people,288,297,314,
LG Electronics,2024-2025 LG Electronics Sustainability Report,2024 report with 2022-2024 comparative ESG data,esg_report/20250630_20250630000364_LG전자.pdf,140,Social,Employees,Executives - female,people,12,12,15,
